1_Fecha;2_Codigo;3_Especie;4_Altura;lat_6_Ubic;long_6_Ubi
23/4/2022 0:00;55;Aliso;0,81;-4,0254;-79,201305
23/4/2022 0:00;61;Aliso;0,96;-4,02475;-79,20186
23/4/2022 0:00;81;Aliso;0,84;-4,024964;-79,201978
23/4/2022 0:00;16;Aliso;0,8;-4,0249;-79,201852
23/4/2022 0:00;70;Aliso;1,2;-4,029098;-79,201166
23/4/2022 0:00;53;Aliso;0,64;-4,029128;-79,201153
23/4/2022 0:00;104;Aliso;0,6;-4,029096;-79,201201
23/4/2022 0:00;28;Aliso;0,85;-4,029212;-79,201054
23/4/2022 0:00;100;Aliso;0,79;-4,031037;-79,201016
23/4/2022 0:00;46;Aliso;0,9;-4,029863;-79,201279
23/4/2022 0:00;73;Aliso;1,15;-4,031077;-79,200997
23/4/2022 0:00;26;Aliso;0,22;-4,03109;-79,200969
23/4/2022 0:00;11;Aliso;0,64;-4,029976;-79,201758
23/4/2022 0:00;64;Aliso;0,9;-4,029802;-79,201043
23/4/2022 0:00;6;Aliso;1,45;-4,029865;-79,201836
23/4/2022 0:00;88;Aliso;0,7;-4,030995;-79,201664
23/4/2022 0:00;71;Aliso;0,69;-4,02796;-79,201525
23/4/2022 0:00;17;Aliso;0,65;-4,028285;-79,201543
23/4/2022 0:00;12;Aliso;0,75;-4,028004;-79,201598
23/4/2022 0:00;92;Aliso;0,6;-4,028159;-79,201558
23/4/2022 0:00;34;Aliso;0,92;-4,028176;-79,201533
23/4/2022 0:00;0;Aliso;0,6;-4,031198;-79,201613
23/4/2022 0:00;50;Aliso;0,48;-4,028045;-79,20156
23/4/2022 0:00;90;Aliso;0,9;-4,027961;-79,201533
23/4/2022 0:00;8;Aliso;1,15;-4,031238;-79,201583
23/4/2022 0:00;67;Aliso;0,9;-4,029927;-79,201238
23/4/2022 0:00;68;Aliso;1,1;-4,028041;-79,201537
23/4/2022 0:00;60;Aliso;0,55;-4,027911;-79,201532
23/4/2022 0:00;25;Aliso;0,8;-4,031404;-79,201655
23/4/2022 0:00;79;Aliso;0,56;-4,031452;-79,201539
23/4/2022 0:00;76;Aliso;0,9;-4,02804;-79,201607
23/4/2022 0:00;10;Aliso;1,25;-4,029937;-79,201233
23/4/2022 0:00;97;Aliso;0,83;-4,031615;-79,201565
8/6/2024 12:23;50;Aliso;62;-3,964495;-79,245472
8/6/2024 12:05;60;Aliso;111;-3,964103;-79,246238
8/6/2024 11:46;68;Aliso;48;-3,964462;-79,245892
8/6/2024 10:55;89;Aliso;75;-3,964129;-79,245936
8/6/2024 10:28;100;Desconocida;21;-3,964375;-79,245821
8/6/2024 12:32;44;Desconocida 1;58;-3,964165;-79,245533
8/6/2024 12:31;45;Desconocida 1;48;-3,964222;-79,245536
8/6/2024 12:30;46;Desconocida 1;41;-3,964285;-79,245605
8/6/2024 12:24;49;Desconocida 1;42;-3,964443;-79,245583
8/6/2024 12:16;54;Desconocida 1;24;-3,964572;-79,245576
8/6/2024 11:54;66;Desconocida 1;47;-3,964097;-79,246043
8/6/2024 11:45;69;Desconocida 1;46;-3,964428;-79,245872
8/6/2024 10:58;88;Desconocida 1;61;-3,964111;-79,245933
