FID;OBJECTID;Cientifico;Year;Fuente;Nombre;DPA_DESCAN;POINT_X;POINT_Y
0;1;Aerva  sanguinolenta (L.)  Blume;2016;Investigación UTPL;Escancel;CATAMAYO;-79,280015799400005;-3,994281510130000
1;2;Aerva  sanguinolenta (L.)  Blume;2016;Investigación UTPL;Escancel;LOJA;-79,255275368100001;-3,880725687390000
2;3;Alcea rosea L.;1994;GBIF;Malva  goma, malva  rosa, malvón;LOJA;-79,193900000100001;-3,985599999640000
3;4;Alcea rosea L.;2004;GBIF;Malva  goma, malva  rosa, malvón;LOJA;-79,342199999599998;-3,831900000180000
4;5;Alcea rosea L.;2006;GBIF;Malva  goma, malva  rosa, malvón;PALTAS;-79,702430000299998;-3,959505999600000
5;6;Alcea rosea L.;2016;Investigación UTPL;Malva  goma, malva  rosa, malvón;CATAMAYO;-79,271000790200006;-3,994986016090000
6;7;Alcea rosea L.;2016;Investigación UTPL;Malva  goma, malva  rosa, malvón;LOJA;-79,255275368100001;-4,027919751050000
7;8;Alcea rosea L.;2024;Proyecto;Malva  goma, malva  rosa, malvón;LOJA;-79,251095449999994;-3,840305499750000
8;9;Alchemilla aphanoides Mutis ex L. f.;2024;Proyecto;Saucillo;LOJA;-79,262133800300006;-3,678712099880000
9;10;Aloysia triphylla Royle;2016;Investigación UTPL;Cedrón;CATAMAYO;-79,281013012200006;-3,996171224070000
10;11;Aloysia triphylla Royle;2016;Investigación UTPL;Cedrón;LOJA;-79,255275368100001;-3,993459024360000
11;12;Aloysia triphylla Royle;2016;Investigación UTPL;Cedrón;SARAGURO;-79,317560945300002;-3,596131968120000
12;13;Aloysia triphylla Royle;2020;INaturalist;Cedrón;LOJA;-79,248215541600004;-3,990239433000000
13;14;Aloysia triphylla Royle;2023;INaturalist;Cedrón;LOJA;-79,192552500000005;-4,043751083150000
14;15;Aloysia triphylla Royle;2024;INaturalist;Cedrón;CATAMAYO;-79,356912400200002;-3,986538800130000
15;16;Aloysia triphylla Royle;2024;INaturalist;Cedrón;OLMEDO;-79,569648999699993;-3,973821999690000
16;17;Aloysia triphylla Royle;2024;Proyecto;Cedrón;LOJA;-79,284337500000007;-3,867810500100000
17;18;Alternanthera porrigens (Jacq.) Kuntze;1961;Tropicos;Moradilla;LOJA;-79,249999998899995;-3,779999999900000
18;19;Alternanthera porrigens (Jacq.) Kuntze;1965;Tropicos;Moradilla;LOJA;-79,209999999700003;-3,950000000100000
19;20;Alternanthera porrigens (Jacq.) Kuntze;1979;Tropicos;Moradilla;SARAGURO;-79,249999998899995;-3,670000000300000
20;21;Alternanthera porrigens (Jacq.) Kuntze;1980;Tropicos;Moradilla;CATAMAYO;-79,569999999700002;-3,820000000900000
21;22;Alternanthera porrigens (Jacq.) Kuntze;1980;Tropicos;Moradilla;LOJA;-79,280000000100003;-4,180000000000000
22;23;Alternanthera porrigens (Jacq.) Kuntze;1988;Tropicos;Moradilla;CATAMAYO;-79,359999999899998;-3,989999999750000
23;24;Alternanthera porrigens (Jacq.) Kuntze;1988;Tropicos;Moradilla;LOJA;-79,199999999900001;-4,190000000250000
24;25;Alternanthera porrigens (Jacq.) Kuntze;1989;Tropicos;Moradilla;SARAGURO;-79,230000000199993;-3,629999999300000
25;26;Alternanthera porrigens (Jacq.) Kuntze;1990;Tropicos;Moradilla;SARAGURO;-79,199999999900001;-3,450000001100000
26;27;Alternanthera porrigens (Jacq.) Kuntze;1994;Tropicos;Moradilla;PALTAS;-79,919999999900000;-4,070000000400000
27;28;Alternanthera porrigens (Jacq.) Kuntze;2016;Investigación UTPL;Moradilla;LOJA;-79,278887827899993;-3,879304302150000
28;29;Alternanthera porrigens (Jacq.) Kuntze;2024;Proyecto;Moradilla;CATAMAYO;-79,230990000000006;-4,052610999800000
29;30;Alternanthera porrigens (Jacq.) Kuntze;2024;Proyecto;Moradilla;LOJA;-79,361912028199995;-3,786328388840000
30;31;Amaranthus caudatus L.;2001;INaturalist;Amaranto, ataco, ataku morado, sangorache;LOJA;-79,198939000400003;-4,037138000320000
31;32;Amaranthus caudatus L.;2016;Investigación UTPL;Amaranto, ataco, ataku morado, sangorache;LOJA;-79,305307228199993;-3,918018774000000
32;33;Amaranthus caudatus L.;2023;INaturalist;Amaranto, ataco, ataku morado, sangorache;LOJA;-79,182621667099994;-4,060041667090000
33;34;Amaranthus caudatus L.;2024;INaturalist;Amaranto, ataco, ataku morado, sangorache;PUYANGO;-80,008046667000002;-3,952391667040000
34;35;Amaranthus hybridus L.;2016;Investigación UTPL;Ataco, Sangorache;LOJA;-79,254983413999994;-4,053203963290000
35;36;Amaranthus hybridus L.;2016;Investigación UTPL;Ataco, Sangorache;SARAGURO;-79,317560945300002;-3,596131968120000
36;37;Amaranthus hybridus L.;2024;Proyecto;Ataco, ataku, bledo, sangorache;LOJA;-79,333231025800004;-3,853707981990000
37;38;Begonia × tuberhybrida Voss;2017;GBIF;Begonia;CATAMAYO;-79,298275000199993;-4,127265999930000
38;39;Borago officinalis L.;1970;GBIF;Borraja;LOJA;-79,199999999900001;-4,000000000000000
